index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
LSAMP,3.33E-05,6.20E-05,3.37E-05,1.82E-05,2.46E-05,1.60E-05,2.81E-05,5.56E-05,0,4.02E-05,3.87E-05,1.80E-05,8.43E-05,2.65E-05,4.52E-05,2.31E-05,0,3.16E-05,1.95E-05
SP1,9.50E-06,2.25E-05,5.44E-05,4.26E-06,2.95E-05,2.89E-05,2.25E-05,3.40E-05,1.86E-05,0,2.42E-05,3.34E-05,1.92E-05,1.99E-05,1.51E-05,2.59E-05,1.16E-05,2.81E-05,5.02E-05
MRPL40,8.08E-05,5.07E-05,4.66E-05,7.90E-05,3.11E-05,2.24E-05,4.22E-05,3.40E-05,3.73E-05,4.02E-05,3.39E-05,2.83E-05,5.36E-05,1.32E-05,4.52E-05,1.87E-05,3.49E-05,2.45E-05,3.35E-05
PCGF3,2.38E-05,4.88E-05,1.29E-05,4.26E-06,1.47E-05,5.13E-05,5.34E-05,5.87E-05,2.49E-05,1.01E-05,4.36E-05,2.06E-05,3.45E-05,3.97E-05,1.51E-05,1.73E-05,2.32E-05,1.75E-05,5.02E-05
LMLN,4.75E-06,1.50E-05,0,1.82E-06,6.55E-06,6.41E-06,2.81E-06,1.24E-05,1.86E-05,0,4.84E-06,8.57E-06,7.66E-06,6.62E-06,0,2.88E-06,0,0,1.67E-05
P4HB,0.000612993,0.000379342,0.000261502,0.000418235,0.000220992,0.000387874,0.000213564,0.000182236,0.000155349,0.000331835,0.00039228,0.000275911,0.00041766,0.00019192,0.000180611,0.000207498,0.000127868,0.000189377,0.000256661
PSMD13,7.13E-05,5.82E-05,7.77E-05,2.13E-05,4.42E-05,7.37E-05,5.48E-05,8.34E-05,6.21E-06,6.03E-05,7.75E-05,4.88E-05,5.75E-05,3.31E-05,3.01E-05,3.60E-05,8.14E-05,6.66E-05,6.42E-05
PBX1,0,8.83E-05,4.66E-05,3.04E-06,1.64E-06,2.24E-05,6.18E-05,4.02E-05,0.000161563,4.02E-05,1.45E-05,1.71E-06,7.66E-05,6.62E-06,0,2.88E-06,0,0,4.18E-05
NDUFA4L2,4.75E-06,4.88E-05,0,6.08E-07,0,3.21E-06,4.22E-06,0,0.00029827,0.001005561,1.45E-05,3.43E-06,1.53E-05,0,0,1.44E-06,0,0,0
ZFP36L1-1,0.000128301,0.000450703,0.0007146,0.000167172,0.000410881,0.000384668,0.00023183,0.000364472,0.000490903,0.000331835,0.000343851,0.00053897,0.000678218,0.000483108,0.00031607,0.000546124,0.000278985,0.000606709,0.00039894
UBE2L3,4.28E-05,7.89E-05,9.84E-05,3.40E-05,9.00E-05,0.000105784,0.000105377,0.00012355,0.000136707,0.000150834,0.000135603,9.94E-05,9.58E-05,0.000112505,9.03E-05,9.94E-05,0.00010462,0.00010521,5.30E-05
NTF3,0,1.88E-06,0,0,1.64E-06,0,1.41E-06,3.09E-06,4.35E-05,0,0,0,3.45E-05,6.62E-06,0,0,0,0,0
BRWD1,3.33E-05,3.76E-05,4.40E-05,2.55E-05,2.29E-05,2.89E-05,5.62E-05,3.40E-05,3.73E-05,0,7.26E-05,3.51E-05,4.98E-05,8.60E-05,4.52E-05,4.03E-05,2.32E-05,5.61E-05,9.21E-05
MOSMO,1.43E-05,2.44E-05,2.33E-05,7.29E-06,6.55E-06,4.49E-05,3.23E-05,4.32E-05,6.21E-06,0,4.84E-06,7.71E-06,1.92E-05,1.32E-05,0,1.01E-05,0,1.40E-05,2.23E-05
DRG1,9.50E-06,6.01E-05,4.40E-05,2.43E-05,3.60E-05,4.49E-05,3.79E-05,2.78E-05,3.73E-05,3.02E-05,5.81E-05,3.26E-05,3.45E-05,1.99E-05,1.51E-05,2.45E-05,0,3.16E-05,2.51E-05
ANKFY1,0,1.69E-05,2.85E-05,9.73E-06,3.44E-05,2.56E-05,2.53E-05,2.16E-05,2.49E-05,0,1.94E-05,3.00E-05,7.66E-06,1.32E-05,0,2.02E-05,3.49E-05,1.40E-05,2.79E-05
YTHDF3,9.50E-06,4.88E-05,4.66E-05,1.64E-05,1.96E-05,2.89E-05,3.09E-05,2.78E-05,4.97E-05,2.01E-05,4.36E-05,3.26E-05,2.30E-05,3.31E-05,1.51E-05,3.60E-05,1.16E-05,1.75E-05,5.30E-05
IFIT1,4.75E-06,3.76E-05,5.18E-06,2.61E-05,4.26E-05,2.56E-05,2.39E-05,1.54E-05,6.21E-06,3.02E-05,1.45E-05,2.40E-05,2.30E-05,1.32E-05,1.51E-05,1.15E-05,0,3.51E-06,0
