index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
ELAC2,1.43E-05,1.50E-05,2.33E-05,9.12E-06,1.96E-05,9.62E-06,2.11E-05,3.09E-05,6.21E-06,3.02E-05,3.39E-05,2.06E-05,7.66E-06,5.29E-05,0,1.73E-05,1.16E-05,1.75E-05,1.67E-05
ARSD,0,3.19E-05,8.03E-05,6.81E-05,1.47E-05,2.89E-05,2.39E-05,2.47E-05,0,3.02E-05,4.36E-05,4.88E-05,1.15E-05,6.62E-06,1.51E-05,5.48E-05,0,1.75E-05,8.37E-05
PNPLA4,1.90E-05,1.88E-05,2.59E-05,3.95E-05,1.64E-05,1.28E-05,2.25E-05,6.18E-06,2.49E-05,1.01E-05,1.94E-05,1.97E-05,2.30E-05,0,3.01E-05,1.30E-05,0,1.05E-05,1.67E-05
ADIPOR2,1.43E-05,4.13E-05,6.47E-05,7.66E-05,3.11E-05,8.66E-05,6.74E-05,0.000132816,1.24E-05,7.04E-05,5.81E-05,3.68E-05,1.92E-05,4.63E-05,4.52E-05,3.60E-05,3.49E-05,7.72E-05,8.65E-05
UPP2,0,0,2.59E-06,9.73E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARK4,2.38E-05,2.44E-05,2.07E-05,5.47E-06,1.80E-05,3.21E-05,3.37E-05,4.02E-05,1.86E-05,6.03E-05,1.45E-05,1.97E-05,2.68E-05,2.65E-05,3.01E-05,8.65E-06,0,2.45E-05,1.95E-05
CCDC124,2.38E-05,3.19E-05,6.99E-05,1.82E-05,2.78E-05,6.09E-05,3.51E-05,2.78E-05,7.46E-05,5.03E-05,3.39E-05,3.00E-05,1.92E-05,3.31E-05,4.52E-05,2.74E-05,1.16E-05,3.86E-05,3.07E-05
CEACAM21,0,0,0,0,1.15E-05,9.62E-06,2.81E-06,0,0,0,9.69E-06,3.43E-06,0,0,0,5.76E-06,0,3.51E-06,2.79E-06
PAFAH1B1,6.18E-05,0.00010892,0.000106154,3.40E-05,6.55E-05,9.94E-05,0.000101162,0.000120461,0.000142921,0.000110612,7.75E-05,6.94E-05,0.000118784,0.000152212,4.52E-05,8.79E-05,6.97E-05,9.12E-05,5.30E-05
KIAA0100,4.75E-06,3.76E-05,5.44E-05,1.22E-05,4.91E-05,4.81E-05,4.64E-05,2.78E-05,4.97E-05,2.01E-05,4.36E-05,4.11E-05,3.07E-05,6.62E-06,1.51E-05,2.59E-05,4.65E-05,5.26E-05,5.30E-05
TRAPPC6A,1.90E-05,9.39E-06,2.33E-05,1.82E-05,1.80E-05,2.24E-05,1.97E-05,1.54E-05,1.24E-05,1.01E-05,2.42E-05,2.14E-05,1.15E-05,2.65E-05,0,3.46E-05,3.49E-05,1.40E-05,3.63E-05
CD79B,4.75E-05,1.88E-06,0,0,0,4.17E-05,2.95E-05,1.54E-05,0,1.01E-05,4.84E-06,1.71E-06,0,3.31E-05,1.51E-05,1.44E-06,0,0,0
ST7L,1.43E-05,1.13E-05,1.04E-05,5.47E-06,6.55E-06,9.62E-06,5.62E-06,1.24E-05,4.35E-05,4.02E-05,0,3.43E-06,1.15E-05,6.62E-06,0,4.32E-06,0,1.05E-05,1.12E-05
LUC7L,4.75E-05,3.19E-05,2.85E-05,3.65E-06,2.95E-05,3.53E-05,2.95E-05,7.41E-05,2.49E-05,3.02E-05,9.69E-06,2.14E-05,4.21E-05,1.32E-05,1.51E-05,3.03E-05,2.32E-05,2.81E-05,2.23E-05
TSR3,3.80E-05,7.70E-05,5.70E-05,2.31E-05,2.46E-05,1.60E-05,4.22E-05,4.94E-05,6.21E-05,5.03E-05,1.94E-05,3.43E-05,4.21E-05,2.65E-05,6.02E-05,3.31E-05,1.16E-05,4.56E-05,4.74E-05
PIGQ,0,1.31E-05,2.07E-05,4.86E-06,6.55E-06,2.89E-05,1.41E-05,3.40E-05,0,0,2.42E-05,6.85E-06,7.66E-06,6.62E-06,3.01E-05,1.15E-05,1.16E-05,7.01E-06,8.37E-06
CRAMP1,0,5.63E-06,1.04E-05,3.04E-06,8.18E-06,1.28E-05,1.26E-05,1.85E-05,1.86E-05,0,9.69E-06,1.11E-05,1.53E-05,5.29E-05,1.51E-05,1.30E-05,0,7.01E-06,8.37E-06
TEAD3,4.75E-06,6.01E-05,1.81E-05,3.04E-06,0,3.21E-06,1.41E-06,6.18E-06,8.70E-05,7.04E-05,0,8.57E-07,6.13E-05,0,0,0,0,7.01E-06,4.18E-05
DNAJC11,4.75E-06,1.69E-05,2.07E-05,5.47E-06,4.91E-06,2.56E-05,1.12E-05,1.54E-05,1.24E-05,4.02E-05,1.45E-05,1.71E-05,1.15E-05,3.97E-05,4.52E-05,1.87E-05,0,2.81E-05,1.39E-05
FMO3,9.50E-06,3.76E-05,2.59E-06,0.000444982,4.91E-06,3.21E-06,9.84E-06,0,6.21E-06,6.03E-05,9.69E-06,4.28E-06,6.51E-05,1.32E-05,0,1.87E-05,0,7.01E-06,0
MYLIP,2.38E-05,5.45E-05,2.07E-05,0,6.71E-05,3.53E-05,5.06E-05,3.71E-05,7.46E-05,0.000181001,3.39E-05,4.80E-05,5.36E-05,0.000145594,0.000150509,4.90E-05,1.16E-05,5.96E-05,0.000164598
PSMB1,0.000147308,0.000225352,0.000196774,0.000178722,0.000148965,0.000208362,0.000212159,0.000240922,0.00023613,0.00016089,0.000188876,0.000167089,0.000210746,0.00015883,0.000195662,0.000131127,0.000197615,0.000136773,9.21E-05
JARID2,9.50E-06,1.13E-05,2.59E-06,1.82E-06,2.13E-05,2.56E-05,1.55E-05,3.09E-05,0,3.02E-05,1.94E-05,3.51E-05,1.92E-05,4.63E-05,4.52E-05,3.89E-05,3.49E-05,7.72E-05,3.07E-05
CDKL5,9.50E-06,4.69E-05,2.07E-05,2.43E-06,4.91E-06,2.24E-05,1.69E-05,1.24E-05,1.24E-05,0.000140779,9.69E-06,8.57E-06,0,1.32E-05,0,4.32E-06,0,3.51E-06,2.79E-06
CDK11A,1.90E-05,1.31E-05,4.66E-05,8.51E-06,2.62E-05,6.41E-05,4.64E-05,4.63E-05,6.21E-05,8.04E-05,5.81E-05,3.60E-05,4.21E-05,3.31E-05,0.000135459,3.89E-05,2.32E-05,2.45E-05,3.63E-05
NADK,3.33E-05,2.63E-05,4.92E-05,4.44E-05,7.20E-05,4.81E-05,5.34E-05,4.02E-05,1.86E-05,7.04E-05,1.94E-05,6.77E-05,3.45E-05,2.65E-05,1.51E-05,5.19E-05,5.81E-05,6.31E-05,7.81E-05
CYTH3,0,9.20E-05,7.77E-06,6.08E-07,1.15E-05,2.56E-05,3.65E-05,4.32E-05,6.21E-05,0.000150834,0,7.71E-06,6.13E-05,1.32E-05,3.01E-05,1.15E-05,0,3.51E-06,2.79E-06
SYPL1,2.38E-05,6.20E-05,8.80E-05,2.07E-05,2.78E-05,6.41E-05,0.000105377,7.41E-05,8.70E-05,6.03E-05,4.36E-05,4.80E-05,4.98E-05,4.63E-05,6.02E-05,2.74E-05,1.16E-05,2.45E-05,0.000108802
CYB561,2.38E-05,7.51E-06,6.21E-05,7.90E-06,8.18E-06,2.56E-05,3.79E-05,3.09E-05,0,0,1.94E-05,6.00E-06,1.15E-05,1.32E-05,1.51E-05,8.65E-06,0,0,0.000114381
SPAG9,2.38E-05,9.77E-05,9.84E-05,1.95E-05,0.000101492,0.000185923,0.000132073,0.000154437,8.70E-05,6.03E-05,7.75E-05,8.48E-05,0.00011112,6.62E-05,7.53E-05,7.64E-05,1.16E-05,7.72E-05,8.65E-05
AASS,0,1.13E-05,0,5.47E-06,0,1.60E-05,4.22E-06,0,3.11E-05,2.01E-05,0,0,2.68E-05,0,0,0,0,0,0
PLEKHG6,0,3.76E-06,3.62E-05,1.82E-06,0,0,0,0,0,0,4.84E-06,0,0,0,0,0,0,0,6.70E-05
SS18L2,9.50E-06,1.50E-05,2.33E-05,1.03E-05,2.95E-05,3.21E-05,2.67E-05,3.09E-05,6.21E-06,3.02E-05,2.42E-05,1.89E-05,3.07E-05,4.63E-05,6.02E-05,2.88E-05,1.16E-05,3.86E-05,2.23E-05
MPND,1.43E-05,1.50E-05,5.18E-06,2.01E-05,1.96E-05,1.92E-05,7.03E-06,3.09E-06,1.24E-05,0,1.45E-05,2.66E-05,7.66E-06,5.29E-05,6.02E-05,8.65E-06,4.65E-05,2.45E-05,4.18E-05
MGST1,4.75E-06,2.44E-05,0.000155348,0.001451055,2.95E-05,5.13E-05,1.83E-05,1.54E-05,0,1.01E-05,2.42E-05,1.46E-05,1.53E-05,1.99E-05,0,4.61E-05,2.32E-05,1.05E-05,1.12E-05
NFIX,4.75E-06,0.000105164,8.03E-05,2.01E-05,0,2.24E-05,3.37E-05,4.94E-05,0.000180205,5.03E-05,1.94E-05,5.14E-06,0.000160933,0,0,1.15E-05,0,3.51E-06,5.58E-05
ST3GAL1,1.43E-05,3.76E-05,1.04E-05,6.99E-05,8.18E-05,4.81E-05,3.93E-05,3.09E-05,7.46E-05,3.02E-05,6.30E-05,8.83E-05,5.36E-05,0.000152212,0.000135459,0.000113836,5.81E-05,6.66E-05,8.37E-06
IL32,1.90E-05,0.000206572,0.000541128,0.000155014,3.77E-05,0.000150662,8.85E-05,0.000355206,6.21E-06,0.000100556,0.00013076,1.63E-05,0.000252895,0.001085338,0.001490044,1.73E-05,0,2.10E-05,0.000100432
PKD1,4.75E-06,3.19E-05,2.85E-05,5.47E-06,1.47E-05,1.92E-05,1.41E-05,2.78E-05,5.59E-05,2.01E-05,1.45E-05,6.85E-06,6.13E-05,1.32E-05,0,1.30E-05,1.16E-05,1.05E-05,1.67E-05
MED24,1.43E-05,1.13E-05,1.04E-05,4.86E-06,1.47E-05,1.60E-05,2.11E-05,9.27E-06,0,1.01E-05,9.69E-06,1.20E-05,3.07E-05,1.32E-05,3.01E-05,1.73E-05,3.49E-05,7.01E-06,1.67E-05
HEATR5B,9.50E-06,5.63E-06,2.33E-05,3.65E-06,1.15E-05,2.56E-05,4.22E-06,1.24E-05,2.49E-05,4.02E-05,9.69E-06,2.23E-05,7.66E-06,6.62E-06,1.51E-05,3.31E-05,1.16E-05,0,2.79E-05
SEC62,0.000508451,0.000242253,0.000282215,0.000186017,0.000199711,0.000468013,0.000422914,0.000389182,0.000211275,0.000321779,0.000154975,0.000137956,0.000256727,0.000165448,0.000255866,0.000125363,6.97E-05,0.000115731,0.000295718
RPS20,0.001786707,0.00145164,0.001297155,0.000664434,0.000923254,0.001407245,0.002034482,0.001584527,0.001205508,0.001417841,0.001699881,0.001249313,0.001555687,0.002647166,0.002498457,0.002085068,0.002324879,0.001437865,0.00118845
CSDE1,0.000356391,0.000313614,0.000352122,0.000126443,0.000348676,0.000349407,0.000344232,0.000407714,0.000584112,0.000382113,0.00026152,0.000294763,0.000272054,0.000304424,0.000270917,0.000304042,0.000220863,0.000343685,0.000435207
UBE3C,2.38E-05,5.45E-05,5.18E-05,1.88E-05,2.95E-05,4.81E-05,2.81E-05,7.72E-05,3.73E-05,4.02E-05,3.87E-05,2.74E-05,5.36E-05,5.29E-05,6.02E-05,4.47E-05,4.65E-05,5.61E-05,8.65E-05
REV3L,2.38E-05,4.69E-05,5.44E-05,9.73E-06,4.42E-05,4.49E-05,4.78E-05,3.40E-05,4.35E-05,2.01E-05,1.94E-05,3.77E-05,6.90E-05,5.96E-05,1.51E-05,5.91E-05,2.32E-05,4.56E-05,1.39E-05
MASP2,9.50E-06,0,5.18E-06,0.000258357,0,9.62E-06,7.03E-06,0,0,0,0,0,3.83E-06,6.62E-06,0,7.20E-06,0,0,0
IYD,0,1.88E-06,0,3.22E-05,1.64E-06,6.41E-06,5.62E-06,3.09E-06,6.21E-06,0,4.84E-06,8.57E-07,0,0,0,1.44E-06,0,3.51E-06,3.35E-05
FAM76A,2.38E-05,2.07E-05,1.55E-05,9.12E-06,1.15E-05,1.92E-05,1.41E-05,2.16E-05,1.86E-05,4.02E-05,9.69E-06,6.00E-06,7.66E-06,7.94E-05,0,1.44E-06,0,7.01E-06,3.07E-05
VTA1,2.38E-05,4.32E-05,4.66E-05,1.76E-05,2.46E-05,3.21E-05,2.39E-05,1.54E-05,0,4.02E-05,2.42E-05,3.00E-05,1.15E-05,1.32E-05,6.02E-05,2.31E-05,0,2.45E-05,1.39E-05
MLXIPL,0,1.88E-06,4.66E-05,4.98E-05,3.27E-06,6.41E-06,1.41E-06,0,0,0,2.91E-05,8.57E-06,0,0,0,4.32E-06,0,3.51E-06,8.37E-06
BAZ1B,3.80E-05,7.14E-05,0.000113922,2.61E-05,6.71E-05,0.000121812,9.98E-05,8.03E-05,4.35E-05,8.04E-05,8.72E-05,6.94E-05,0.000107289,0.000145594,9.03E-05,5.91E-05,5.81E-05,3.86E-05,8.09E-05
RANBP9,2.38E-05,4.32E-05,1.55E-05,1.16E-05,2.46E-05,3.21E-05,1.83E-05,4.32E-05,1.24E-05,2.01E-05,3.39E-05,3.86E-05,4.21E-05,1.32E-05,0.000105357,3.75E-05,0,3.16E-05,2.51E-05
EEF1AKNMT,9.50E-06,1.88E-05,1.29E-05,3.65E-06,9.82E-06,1.60E-05,1.41E-05,3.71E-05,1.86E-05,5.03E-05,2.42E-05,1.97E-05,1.53E-05,1.99E-05,4.52E-05,1.87E-05,2.32E-05,1.40E-05,8.37E-06
DYRK4,2.38E-05,1.88E-05,2.33E-05,6.69E-06,1.31E-05,1.92E-05,1.41E-06,1.54E-05,1.24E-05,3.02E-05,9.69E-06,2.23E-05,1.53E-05,0,3.01E-05,1.87E-05,0,1.40E-05,8.37E-06
ZNF207,8.55E-05,0.000103286,9.32E-05,2.01E-05,7.69E-05,0.000115401,8.15E-05,0.000114284,7.46E-05,0.000150834,0.000150132,7.88E-05,9.20E-05,0.00012574,0.000120408,8.21E-05,9.30E-05,9.47E-05,0.00013391
UQCRC1,3.80E-05,8.64E-05,0.000100976,0.000111853,6.88E-05,7.05E-05,4.50E-05,5.25E-05,0.000105637,8.04E-05,5.33E-05,9.17E-05,4.60E-05,5.96E-05,9.03E-05,5.76E-05,2.32E-05,9.47E-05,0.000189706
STARD3NL,9.50E-06,3.00E-05,2.85E-05,3.65E-06,3.44E-05,6.09E-05,3.93E-05,6.49E-05,3.11E-05,5.03E-05,4.84E-05,3.26E-05,3.45E-05,2.65E-05,0,2.16E-05,4.65E-05,4.21E-05,1.67E-05
CD9,9.50E-05,0.000315492,0.000139813,1.88E-05,0.000101492,0.000115401,0.000841612,0.000929712,0.000671108,0.000372057,0.000193719,0.00049527,7.28E-05,8.60E-05,0.000120408,0.000132568,0,0.000126252,0.001347468
NCAPD2,2.85E-05,1.88E-05,1.29E-05,4.86E-06,9.82E-06,9.62E-06,1.12E-05,1.24E-05,6.21E-06,3.02E-05,0.000169504,1.46E-05,2.30E-05,7.94E-05,1.51E-05,8.65E-06,1.16E-05,7.01E-06,2.51E-05
IFFO1,0,3.00E-05,0,6.08E-07,1.80E-05,9.62E-06,7.03E-06,6.18E-06,4.97E-05,5.03E-05,4.84E-06,3.43E-05,1.15E-05,4.63E-05,4.52E-05,2.45E-05,0,3.16E-05,0
SEMA3G,0,0,0,0,1.64E-06,0,5.62E-06,0.000135905,0,0,0,8.57E-07,0,0,0,0,0,0,0
NISCH,1.90E-05,6.38E-05,3.62E-05,4.86E-06,1.80E-05,6.09E-05,4.64E-05,2.78E-05,1.24E-05,6.03E-05,1.45E-05,2.40E-05,2.30E-05,5.96E-05,4.52E-05,1.44E-05,4.65E-05,2.10E-05,3.35E-05
STAB1,9.50E-06,5.63E-06,7.77E-06,3.65E-06,8.18E-05,0.001436095,0.000118022,0.000138994,6.21E-06,0,2.91E-05,0.000119105,1.92E-05,6.62E-06,0,6.05E-05,1.16E-05,3.51E-05,0
IDS,9.50E-05,0.000133333,4.40E-05,2.25E-05,5.89E-05,6.73E-05,8.15E-05,6.80E-05,0.000118065,5.03E-05,5.33E-05,9.68E-05,0.00011112,0.000225009,0.000210713,9.08E-05,0.00018599,0.000112224,4.74E-05
PRSS3,0,1.88E-06,7.77E-06,1.82E-06,0,0,0,0,0,0,1.45E-05,8.57E-07,0,0,0,2.88E-06,0,0,0.000106012
ZNF200,4.75E-06,7.51E-06,5.18E-06,4.86E-06,1.15E-05,9.62E-06,5.62E-06,2.16E-05,6.21E-06,0,9.69E-06,1.11E-05,0,6.62E-06,1.51E-05,2.16E-05,0,3.51E-06,8.37E-06
CD4,9.50E-06,7.70E-05,7.77E-06,4.98E-05,0.000620413,0.001256583,0.000212159,6.80E-05,5.59E-05,0.000110612,0.000135603,0.000425863,0.00011112,0.000112505,0.000421427,0.000425083,0.000174366,0.000273545,0
BTK,2.38E-05,3.76E-06,0,6.08E-07,4.26E-05,3.21E-06,1.41E-06,0,0,1.01E-05,1.45E-05,4.88E-05,0,0,0,5.04E-05,2.32E-05,6.66E-05,0
HFE,0,1.88E-05,1.55E-05,3.65E-06,3.44E-05,6.41E-06,1.26E-05,3.09E-06,0,0,4.84E-06,1.03E-05,1.92E-05,0,0,7.20E-06,0,1.05E-05,8.37E-06
SCMH1,4.75E-06,1.50E-05,2.59E-06,2.43E-06,4.91E-06,3.21E-06,4.22E-06,6.18E-06,4.35E-05,2.01E-05,1.45E-05,6.00E-06,3.83E-05,6.62E-06,0,8.65E-06,0,3.51E-06,1.39E-05
FYN,0,4.88E-05,4.66E-05,3.40E-05,0,0.000121812,0.000101162,0.00012355,1.86E-05,6.03E-05,6.78E-05,1.54E-05,3.45E-05,0.000496344,0.000451528,4.61E-05,6.97E-05,6.66E-05,0
HIVEP2,1.90E-05,4.69E-05,6.47E-05,4.86E-06,3.11E-05,5.13E-05,2.39E-05,3.40E-05,5.59E-05,2.01E-05,1.45E-05,1.29E-05,5.36E-05,5.29E-05,1.51E-05,4.47E-05,3.49E-05,1.05E-05,2.51E-05
ELOA,1.90E-05,1.88E-05,6.21E-05,3.95E-05,3.77E-05,5.13E-05,5.20E-05,4.94E-05,5.59E-05,6.03E-05,3.87E-05,3.51E-05,3.45E-05,3.31E-05,3.01E-05,3.17E-05,2.32E-05,5.96E-05,2.23E-05
LYPLA2,1.43E-05,1.88E-05,3.88E-05,1.46E-05,2.78E-05,3.53E-05,2.53E-05,4.94E-05,6.21E-06,4.02E-05,4.84E-05,2.06E-05,2.30E-05,1.99E-05,6.02E-05,2.02E-05,0,2.10E-05,6.42E-05
CLCN6,0,9.39E-06,1.04E-05,1.82E-06,8.18E-06,9.62E-06,4.22E-06,1.24E-05,1.24E-05,2.01E-05,9.69E-06,6.85E-06,3.83E-06,0,0,1.44E-05,0,7.01E-06,2.79E-06
MRC2,0,0.000120188,0,0,6.71E-05,3.21E-06,1.41E-06,3.09E-06,1.24E-05,3.02E-05,1.94E-05,3.51E-05,0.000149438,0,0,2.02E-05,3.49E-05,1.40E-05,0
NME1-NME2,0.000280361,0.000411267,0.000295161,0.000105167,0.000199711,0.000169895,0.000272576,0.000256366,0.000223703,0.000271501,0.000329322,0.000343604,0.000375511,0.000185302,0.000240815,0.000383295,0.000534722,0.000287573,0.000351513
TSPAN9,9.50E-06,5.45E-05,2.59E-05,2.37E-05,3.27E-06,7.05E-05,7.31E-05,6.49E-05,4.35E-05,2.01E-05,0,1.71E-06,6.51E-05,0,0,1.44E-06,0,0,8.37E-06
BTBD7,2.38E-05,2.25E-05,5.44E-05,5.47E-06,1.96E-05,3.85E-05,3.93E-05,4.32E-05,4.97E-05,2.01E-05,9.69E-06,1.89E-05,2.68E-05,3.97E-05,0,5.76E-05,1.16E-05,2.10E-05,2.79E-05
APBA3,1.43E-05,7.51E-06,1.55E-05,2.43E-06,6.55E-06,6.41E-06,4.22E-06,2.16E-05,1.86E-05,2.01E-05,9.69E-06,9.43E-06,1.15E-05,2.65E-05,0,7.20E-06,0,7.01E-06,8.37E-06
MKS1,0,3.76E-06,7.77E-06,1.22E-06,6.55E-06,9.62E-06,4.22E-06,3.09E-06,6.21E-06,1.01E-05,0,4.28E-06,3.83E-06,0,1.51E-05,2.88E-06,0,3.51E-06,5.58E-06
ABHD5,4.75E-06,9.39E-06,1.29E-05,7.29E-06,2.29E-05,1.60E-05,8.43E-06,6.18E-06,6.21E-06,0,4.84E-06,6.00E-06,3.83E-06,6.62E-06,4.52E-05,1.30E-05,1.16E-05,7.01E-06,0
AKAP8L,1.43E-05,2.25E-05,2.85E-05,2.43E-06,1.64E-05,6.41E-06,1.26E-05,9.27E-06,1.24E-05,0,4.84E-06,1.71E-05,1.92E-05,1.99E-05,4.52E-05,1.30E-05,2.32E-05,7.01E-06,3.91E-05
MBTD1,9.50E-06,2.07E-05,1.55E-05,5.47E-06,1.15E-05,1.28E-05,1.26E-05,6.18E-06,0,4.02E-05,2.42E-05,1.20E-05,3.83E-06,6.62E-06,0,1.59E-05,1.16E-05,2.81E-05,2.79E-05
UTP18,1.43E-05,2.07E-05,4.92E-05,1.09E-05,3.11E-05,3.53E-05,1.26E-05,4.63E-05,2.49E-05,2.01E-05,3.39E-05,4.63E-05,1.53E-05,1.99E-05,6.02E-05,3.75E-05,2.32E-05,1.75E-05,1.39E-05
RNF216,2.85E-05,3.94E-05,2.33E-05,9.12E-06,4.26E-05,7.05E-05,3.51E-05,4.02E-05,3.11E-05,3.02E-05,4.84E-06,3.08E-05,4.98E-05,6.62E-05,1.51E-05,3.17E-05,2.32E-05,3.16E-05,1.67E-05
TTC19,4.75E-05,3.76E-05,6.47E-05,2.19E-05,2.62E-05,2.56E-05,6.88E-05,7.41E-05,6.84E-05,7.04E-05,3.39E-05,2.91E-05,1.53E-05,3.31E-05,0,6.77E-05,9.30E-05,4.56E-05,1.12E-05
PTBP1,9.03E-05,0.000170892,0.00020713,4.01E-05,0.000129321,0.000179512,0.000126453,0.000182236,7.46E-05,0.00016089,0.000242148,0.000127673,0.000145606,0.000138976,0.000180611,0.000126804,0.000127868,0.000161321,0.000119961
SYT7,0,0,2.59E-06,2.07E-05,1.64E-06,3.21E-06,5.62E-06,1.85E-05,0,0,4.84E-06,0,7.66E-06,0,1.51E-05,2.88E-06,0,3.51E-06,4.18E-05
LARS2,4.75E-06,0,0,2.43E-06,0,0,9.84E-06,1.85E-05,0,1.01E-05,4.84E-06,2.57E-06,1.53E-05,0,1.51E-05,2.88E-06,0,0,1.39E-05
PIK3C2A,2.85E-05,3.19E-05,5.96E-05,8.51E-06,3.93E-05,8.98E-05,0.000129263,0.000225478,4.35E-05,2.01E-05,4.84E-05,3.26E-05,3.07E-05,3.31E-05,1.51E-05,3.89E-05,0,1.05E-05,4.74E-05
PLAUR,1.43E-05,5.63E-05,3.37E-05,6.08E-07,0.00017843,2.24E-05,7.59E-05,4.94E-05,0,2.01E-05,0.000106545,0.000394159,0.000118784,1.99E-05,1.51E-05,0.000432288,0.000174366,0.000690877,5.30E-05
WIZ,0,1.88E-05,2.07E-05,4.86E-06,4.91E-06,1.28E-05,1.12E-05,1.24E-05,2.49E-05,0,1.45E-05,6.00E-06,1.53E-05,1.32E-05,1.51E-05,1.15E-05,0,7.01E-06,1.95E-05
RABGAP1,1.43E-05,4.13E-05,4.66E-05,1.03E-05,5.40E-05,6.09E-05,4.36E-05,8.96E-05,7.46E-05,0.000100556,4.36E-05,3.26E-05,3.45E-05,3.97E-05,1.51E-05,2.59E-05,3.49E-05,2.45E-05,0.000111592
DCN,5.70E-05,0.003936143,2.59E-06,6.08E-06,9.82E-06,6.09E-05,4.64E-05,6.18E-05,9.94E-05,0.002182067,3.87E-05,2.14E-05,0.007606005,6.62E-06,4.52E-05,2.31E-05,2.32E-05,2.10E-05,8.37E-06
PPP5C,4.75E-06,1.69E-05,7.77E-06,6.69E-06,4.91E-06,1.92E-05,9.84E-06,1.24E-05,1.86E-05,0,9.69E-06,6.85E-06,3.83E-06,6.62E-06,0,7.20E-06,3.49E-05,0,8.37E-06
CEP68,0,9.39E-06,1.04E-05,2.43E-06,2.13E-05,3.21E-05,7.03E-05,0.000111195,2.49E-05,0,3.39E-05,3.60E-05,3.07E-05,0,3.01E-05,3.46E-05,8.14E-05,3.16E-05,1.95E-05
MAP4K3,2.38E-05,2.82E-05,4.40E-05,4.86E-06,1.80E-05,1.60E-05,9.84E-06,2.47E-05,3.11E-05,4.02E-05,1.94E-05,6.00E-06,4.60E-05,6.62E-06,1.51E-05,1.59E-05,3.49E-05,7.01E-06,1.95E-05
TYROBP,4.28E-05,0.000185915,2.33E-05,1.40E-05,0.002342511,8.33E-05,1.83E-05,2.16E-05,0,8.04E-05,0.000508512,0.00210104,0.000122616,0.000311042,9.03E-05,0.001220493,5.81E-05,0.001809606,1.95E-05
BRCA1,2.38E-05,1.31E-05,0,6.69E-06,6.55E-06,1.60E-05,9.84E-06,2.16E-05,0,1.01E-05,6.78E-05,7.71E-06,3.83E-06,2.65E-05,1.51E-05,5.76E-06,0,1.40E-05,1.12E-05
ERCC1,4.28E-05,5.07E-05,3.88E-05,1.03E-05,3.11E-05,2.24E-05,4.07E-05,3.09E-05,3.11E-05,6.03E-05,5.33E-05,5.83E-05,5.75E-05,3.97E-05,9.03E-05,6.34E-05,3.49E-05,8.42E-05,3.91E-05
CD22,0,0,0,0,4.91E-06,2.56E-05,2.81E-06,3.09E-06,0,0,4.84E-06,1.54E-05,0,0,6.02E-05,1.01E-05,0,3.51E-06,0
SEMA3B,4.75E-06,1.69E-05,2.85E-05,0,1.64E-06,0,1.26E-05,1.24E-05,3.11E-05,0,4.84E-06,2.57E-06,3.83E-06,0,0,0,1.16E-05,0,7.53E-05
MBTPS2,1.90E-05,1.88E-05,2.33E-05,4.86E-06,4.91E-06,9.62E-06,7.03E-06,6.18E-06,6.21E-06,4.02E-05,9.69E-06,8.57E-06,1.15E-05,2.65E-05,0,5.76E-06,0,1.05E-05,2.79E-06
EXTL3,3.80E-05,1.31E-05,4.14E-05,6.14E-05,5.07E-05,3.85E-05,2.53E-05,5.25E-05,8.08E-05,2.01E-05,2.91E-05,8.57E-06,2.68E-05,3.31E-05,1.51E-05,1.44E-06,2.32E-05,1.75E-05,8.37E-06
NR1H4,0,7.51E-06,2.07E-05,3.71E-05,4.91E-06,3.21E-06,1.41E-06,3.09E-06,0,1.01E-05,0,0,7.28E-05,0,0,2.88E-06,0,0,2.79E-06
ELOVL5,2.38E-05,4.51E-05,3.62E-05,2.37E-05,1.31E-05,2.24E-05,5.06E-05,8.34E-05,7.46E-05,8.04E-05,6.30E-05,3.17E-05,2.30E-05,3.97E-05,6.02E-05,6.34E-05,0.000174366,2.10E-05,1.95E-05
ALOX5,4.75E-06,0,2.59E-06,0,5.73E-05,0,0,0,6.21E-06,3.02E-05,3.39E-05,0.000126816,0,1.32E-05,0,0.000132568,0,0.000122745,0
CALCOCO1,2.85E-05,3.00E-05,1.55E-05,3.65E-06,1.47E-05,4.17E-05,4.64E-05,4.32E-05,8.08E-05,1.01E-05,0,9.43E-06,4.98E-05,3.31E-05,0,1.59E-05,0,1.40E-05,3.91E-05
UBR7,3.33E-05,1.31E-05,2.07E-05,1.03E-05,6.55E-06,2.56E-05,2.25E-05,3.09E-05,4.97E-05,6.03E-05,3.39E-05,1.11E-05,2.68E-05,6.62E-06,3.01E-05,1.01E-05,0,7.01E-06,5.58E-06
MAP4K5,1.90E-05,5.82E-05,2.85E-05,6.69E-06,2.46E-05,4.49E-05,2.11E-05,3.40E-05,4.97E-05,9.05E-05,1.45E-05,2.14E-05,7.66E-05,6.62E-06,3.01E-05,1.73E-05,3.49E-05,0,2.51E-05
