gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
GPX4,0.000273037,0.000240918,0.000204462,0.000216679,0.000172612
GPX5,0,0,0,0,0
GPX7,0,7.03E-07,3.23E-06,1.47E-06,1.50E-06
GPX8,2.19E-06,4.12E-06,5.16E-06,3.50E-06,2.45E-05
GRAMD1A,7.83E-06,1.90E-05,2.35E-05,5.14E-05,1.98E-05
GRAMD1B,6.73E-06,2.07E-05,4.80E-05,4.20E-06,4.51E-06
GRAMD1C,1.40E-05,5.43E-06,2.11E-05,1.44E-05,1.50E-06
GRAMD2A,0,0,0,1.35E-06,0
GRAMD2B,9.89E-05,1.59E-05,1.38E-05,6.37E-05,4.71E-05
GRAMD4,0.000117719,0.000147241,7.07E-05,4.39E-05,1.40E-05
GRAP,1.10E-06,2.81E-06,2.47E-06,1.99E-06,6.02E-06
GRAP2,0.000197654,0.000165993,0.000311638,0.0005674,0.000349399
GRAPL,0,7.03E-07,0,0,0
GRB10,2.70E-05,1.18E-05,2.80E-05,2.29E-05,7.64E-06
GRB14,7.15E-05,6.05E-05,1.02E-05,1.99E-05,1.50E-06
GRB2,7.38E-05,4.80E-05,7.58E-05,8.48E-05,6.12E-05
GRB7,8.31E-06,3.42E-06,1.14E-05,3.91E-05,7.13E-05
GREB1,5.10E-05,5.09E-05,8.16E-05,1.16E-05,3.01E-06
GREB1L,1.94E-05,5.11E-05,9.71E-06,2.03E-06,0
GREM1,0.001118643,0.001303544,0.06009537,0.000660642,0.013214507
GREM2,1.08E-05,1.75E-05,0,0,0
GRHL1,4.00E-05,3.23E-05,4.99E-05,8.92E-06,6.23E-05
GRHL2,0,9.94E-06,3.09E-05,7.01E-05,7.64E-06
GRHPR,0.000162019,0.00014008,2.60E-05,5.76E-05,1.23E-05
GRIA1,8.08E-06,3.42E-06,9.71E-06,1.47E-06,4.51E-06
GRIA2,0,0,0,0,0
GRIA3,1.01E-05,0,1.29E-06,0,0
GRIA4,2.19E-06,0,0,2.73E-06,0
GRID1,0,1.07E-05,0,0,0
GRID2,1.06E-05,0,1.94E-06,0,0
GRID2IP,0,0,0,0,1.50E-06
GRIK1,0,0,0,5.23E-06,0
GRIK3,0,0,0,0,0
GRIK4,0,0,0,0,0
GRIK5,1.37E-05,0,0,6.76E-07,4.63E-06
GRIN1,0,0,0,2.39E-06,1.50E-06
GRIN2A,7.53E-06,1.41E-06,0,0,3.01E-06
GRIN2B,1.62E-05,5.53E-06,1.94E-06,1.15E-05,0
GRIN2C,0,0,0,6.76E-07,0
GRIN2D,8.08E-06,0,1.04E-05,1.54E-05,1.50E-06
GRIN3A,8.08E-06,0,1.94E-06,2.73E-06,1.50E-06
GRIN3B,0,7.03E-07,0,5.23E-06,0
GRINA,4.18E-05,0.000148424,0.000153603,0.000102996,8.26E-05
GRIP1,8.08E-06,1.41E-06,0,0,0
GRIPAP1,4.29E-05,0.000105459,2.09E-05,7.85E-05,0.000133751
GRK1,1.62E-05,0,0,0,0
GRK2,1.95E-05,1.87E-05,9.50E-05,8.41E-05,5.03E-05
GRK3,1.17E-05,3.24E-05,1.52E-05,2.08E-05,4.10E-05
GRK4,0,7.54E-06,2.36E-05,8.62E-06,1.50E-06
GRK5,2.19E-05,7.03E-07,5.88E-05,1.08E-05,6.14E-06
GRK6,1.07E-05,5.53E-06,1.72E-05,1.40E-05,2.95E-05
GRK7,5.02E-06,1.41E-06,3.62E-05,1.47E-06,1.50E-06
GRM1,2.51E-06,7.54E-06,1.29E-06,1.47E-06,0
GRM3,0,0,1.53E-05,1.79E-05,3.13E-06
GRM4,0,1.14E-05,2.49E-05,1.47E-06,1.50E-06
GRM5,3.61E-06,2.29E-05,2.07E-05,9.80E-06,1.03E-05
GRM6,0,0,1.10E-05,4.45E-06,0
GRM7,3.38E-05,0,1.34E-05,5.75E-06,0
GRM8,8.77E-06,2.11E-06,1.14E-05,2.53E-05,1.23E-05
GRN,6.76E-05,0.000123603,0.000189765,0.000183851,0.000106724
GRP,0,0,0,0,3.13E-06
GRPEL1,3.55E-05,5.29E-05,4.05E-05,3.21E-05,4.51E-06
GRPEL2,8.14E-06,7.03E-07,3.36E-05,5.00E-05,2.88E-05
GRSF1,5.75E-05,9.00E-05,0.000164076,8.97E-05,4.26E-05
GRTP1,3.96E-05,5.87E-05,2.75E-05,4.83E-05,1.03E-05
GRWD1,1.59E-05,1.11E-05,2.21E-05,2.33E-05,1.54E-05
GRXCR1,0,0,0,0,0
GRXCR2,0,0,0,0,0
GS1-393G12.13,2.51E-06,0,0,5.47E-06,0
GSAP,4.28E-05,3.79E-05,2.62E-05,5.75E-05,1.35E-05
