gene,1_nmc_H5,2_nmb_H5,3_mb_H5,4_mc_H5,5_mcol_H5
ST3GAL3,1.0964731939715905e-06,2.8133826988217555e-06,6.450031605154866e-07,6.764700709346516e-07,6.017317840745666e-06
ST3GAL4,2.192946387943181e-06,3.092790414657262e-05,1.633501966597453e-05,8.03139304701848e-06,2.4665834626090224e-05
ST3GAL5,4.502770221607714e-05,1.8888053098010553e-05,2.2861527174082565e-05,3.926064356046924e-06,3.008658920372833e-06
ST3GAL6,7.797436531366304e-05,4.3812385043541464e-05,1.5401534887079047e-05,6.820337753829023e-06,9.145289413740011e-06
ST6GAL1,0.0003665346554580622,0.00042932549072500006,0.00016313958635792678,4.257635712379584e-05,8.494676151132914e-05
ST6GAL2,1.1268240464251507e-05,0.0,5.587497190925318e-06,6.822083236529232e-06,0.0
ST6GALNAC1,0.0,2.1100370241163164e-06,9.457516154018236e-06,1.9616214309231653e-05,3.1279715729943444e-06
ST6GALNAC2,0.0,0.0,0.0,0.0,0.0
ST6GALNAC3,8.07787067329052e-06,0.0,1.5984023662126276e-05,0.0,0.0
ST6GALNAC4,5.031573121336386e-06,0.0,0.0,8.980427166486384e-06,1.5043294601864166e-06
ST6GALNAC5,0.0,0.0,6.450031605154866e-07,0.0,6.017317840745666e-06
ST6GALNAC6,1.4808464099387862e-05,1.1350607661411196e-05,6.341265978297835e-06,1.8766227110949438e-05,1.8529204132723046e-05
ST7,2.7653532801927663e-05,6.933778254474153e-06,1.8409019435942418e-05,1.4572577398253369e-05,2.2922879860660785e-05
ST7L,1.646411397661234e-05,6.230432579768714e-06,1.2573766329738639e-05,2.1382712999756414e-05,4.51298838055925e-06
ST8SIA1,0.0,0.0,1.2900063210309731e-06,1.6630678874648684e-05,0.0
ST8SIA2,0.0,7.033456747054389e-07,1.2900063210309731e-06,0.0,0.0
ST8SIA3,0.0,0.0,0.0,0.0,0.0
ST8SIA4,0.0,6.834099761893917e-06,9.705272069296699e-06,7.226500018407075e-06,1.5162607254485677e-05
ST8SIA5,1.0586871714525953e-05,0.0,0.0,0.0,0.0
ST8SIA6,7.527003123706296e-06,0.0,1.2900063210309731e-06,0.0,0.0
STAB1,4.299379431396155e-05,7.934047284974355e-05,1.5798782132316073e-05,2.40193073469274e-05,6.179436989755552e-05
STAB2,1.8348687734524224e-05,1.4066913494108778e-06,9.060268908781213e-06,0.0,1.5043294601864166e-06
STAC,0.0,0.0,0.0,0.0,0.0
STAC2,0.0,0.0,1.2759007859548842e-05,0.0,1.5043294601864166e-06
STAC3,5.031573121336386e-06,7.033456747054389e-07,0.0,1.4683899691344427e-06,3.4987054789727804e-05
STAG1,0.00010990359017972185,7.425599901476748e-05,5.476936173946143e-05,0.0001372654697847445,5.1982390214688745e-05
STAG2,0.0007273344396185828,0.0008690886116212971,0.0015059761301899712,0.0011216409069744083,0.0021610928444478865
STAG3,1.4873714699458528e-05,2.7137042062415198e-06,3.5285802173862646e-05,8.707863117953131e-06,1.6507036303607056e-05
STAM,6.128046315307977e-06,2.4008228179653037e-05,5.293261684323488e-05,4.036700145534795e-05,9.0259767611185e-06
STAM2,5.634120232125754e-06,5.631722072698344e-05,9.338688028041908e-05,6.598611094623674e-05,2.9528163076355235e-05
STAMBP,2.4962978109753472e-05,2.319370335126885e-05,3.1698739290862476e-05,8.471094363053442e-05,1.8011365763793474e-05
STAMBPL1,5.634120232125754e-06,1.4066913494108778e-06,2.4998041329518716e-05,4.870258181834119e-05,2.7744620552482268e-05
STAP1,0.0,0.0,0.0,0.0,0.0
STAP2,5.841093173261918e-05,1.306453234166263e-05,3.2164026459855004e-05,8.10198860713207e-05,1.2511886291977378e-05
STARD10,5.634120232125754e-06,0.0,9.705272069296699e-06,6.764700709346516e-07,7.521647300932083e-06
STARD13,5.045336391240891e-05,3.416230095636973e-05,4.351582639231817e-05,5.5615582717005164e-05,2.8940197701406448e-05
STARD3,3.758806705785151e-05,2.178701200185797e-05,5.319930977924814e-05,0.00013403353500737587,6.127653152862596e-05
STARD3NL,5.018002082470864e-06,5.527086905063275e-06,1.2465000702881607e-05,1.4530581617243026e-05,3.649138424991422e-05
STARD4,7.2109484704140455e-06,1.68635922789199e-05,8.167509832987265e-06,6.764700709346516e-07,1.690556201991512e-05
STARD5,6.7305934260973445e-06,0.0,6.450031605154866e-07,4.285888716504188e-06,0.0
STARD6,0.0,0.0,0.0,0.0,0.0
STARD7,6.99846307034007e-05,8.311062703034909e-05,6.404800728052768e-05,5.797105993981727e-05,5.9533576763196516e-05
